x,Gwt-120,Gwt-110,Gwt-100,Gwt-90,Gwt-80
-1.02414,2.33288,1.91785,1.87262,1.77347,1.65477
-1.01053,2.33908,1.92091,1.87529,1.7763,1.65843
-1.00953,2.33954,1.92114,1.87548,1.77651,1.6587
-1.00444,2.34186,1.92229,1.87648,1.77757,1.66007
-0.99405,2.3466,1.92463,1.87851,1.77973,1.66286
-0.32269,2.66321,2.15863,2.00871,1.91332,1.82714
-0.19586,2.72795,2.21647,2.0327,1.93512,1.85
-0.14513,2.75454,2.24011,2.0422,1.94328,1.85796
-0.13035,2.76237,2.24705,2.04496,1.94559,1.86015
0.36041,3.03841,2.48465,2.13176,2.01163,1.91165
0.60237,3.18002,2.6049,2.17004,2.04561,1.93357
0.65317,3.20974,2.63028,2.17842,2.05342,1.93876
0.81276,3.30271,2.71022,2.2086,2.07947,1.95674
1.02797,3.42751,2.81814,2.26569,2.11687,1.98495
1.2802,3.57795,2.94434,2.3621,2.16209,2.02465
1.45121,3.68541,3.03089,2.44196,2.19266,2.05724
1.67386,3.83513,3.14938,2.55587,2.23108,2.10937
1.83079,3.94922,3.2406,2.6404,2.25658,2.14843
2.03651,4.11232,3.37094,2.75455,2.29094,2.19246
2.11827,4.18214,3.42567,2.80062,2.30627,2.20663
2.43326,4.47629,3.65097,2.97897,2.38504,2.24906
2.50261,4.54581,3.70377,3.01763,2.40782,2.25721
2.55745,4.60185,3.74642,3.04789,2.42732,2.26357
3.00985,5.09307,4.12621,3.31399,2.62978,2.31931
3.08832,5.18205,4.19566,3.37108,2.67183,2.33088
3.19754,5.30676,4.29291,3.45522,2.73401,2.34886
3.20787,5.31858,4.30212,3.46341,2.74013,2.35069
3.36228,5.49607,4.44043,3.59015,2.83722,2.3814
3.6374,5.82203,4.70766,3.83532,3.04303,2.45712
3.75643,5.97115,4.84057,3.95024,3.1448,2.50149
3.8869,6.14421,5.00233,4.08251,3.26134,2.56064
4.01005,6.32041,5.1687,4.21257,3.37194,2.62763
4.04006,6.36571,5.21096,4.24489,3.39857,2.64546
4.21462,6.65077,5.46769,4.43615,3.55156,2.75853
4.33108,6.86171,5.64707,4.56539,3.65344,2.84008
4.50406,7.20397,5.92229,4.76179,3.80753,2.9623
4.69211,7.60795,6.23347,4.98708,3.9838,3.08566
4.70856,7.64447,6.26136,5.0076,3.99993,3.09618
4.72111,7.67242,6.28268,5.02335,4.01233,3.1042
4.97,8.24791,6.7218,5.35591,4.276,3.27414
4.99984,8.31993,6.77683,5.39855,4.30958,3.29693
5.21777,8.87321,7.19699,5.73011,4.56058,3.4794
5.27575,9.0312,7.31413,5.82452,4.62729,3.53088
5.30662,9.11792,7.37737,5.87573,4.6625,3.55854
5.51991,9.77716,7.82959,6.24202,4.90217,3.75016
5.53634,9.83212,7.86538,6.27079,4.92053,3.76466
5.68435,10.34112,8.19276,6.52977,5.08717,3.89165
5.70424,10.40917,8.23734,6.56413,5.10993,3.90823
5.7822,10.66791,8.41317,6.69682,5.2012,3.97223
5.9748,11.26328,8.85264,7.01134,5.48122,4.12559
5.98636,11.298,8.87914,7.02982,5.50269,4.13469
5.99181,11.31434,8.89162,7.03851,5.51265,4.13897
5.99874,11.33518,8.90752,7.04959,5.52512,4.14443
6.01896,11.39595,8.95388,7.08189,5.5597,4.16034
